#module;property;value_type;entity;selection_set_service_method_name;get_name_method_name;get_value_method_name;complete_method_name;jsf converter;picker;name_l10n_key;valid_restrictions
INVENTORY_DB;inventory.id;LONG;;;;;;;;inventory.id;EQ, NE, TRUE
INVENTORY_DB;inventory.department.id;LONG;Department;getAllDepartments;getName;getId;;;;inventory.department.id;EQ, NE, IS_EQ_CONTEXT_USER_DEPARTMENT_ID
INVENTORY_DB;inventory.category.id;LONG;InventoryCategory;getAllInventoryCategories;getName;getId;;;;inventory.category.id;EQ, NE
INVENTORY_DB;inventory.name;STRING;;;;;;;;inventory.name;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
INVENTORY_DB;inventory.bookable;BOOLEAN;;;;;;;;inventory.bookable;EQ, NE
INVENTORY_DB;inventory.deferredDelete;BOOLEAN;;;;;;;;inventory.deferredDelete;EQ, NE
INVENTORY_DB;inventory.parent.id;LONG;;;;;;;INVENTORY_DB;inventory.parent.id;EQ, NE, IS_NULL
INVENTORY_DB;inventory.owner.id;LONG;;;;;;;STAFF_DB;inventory.owner.id;EQ, NE, IS_NULL, IS_EQ_CONTEXT_IDENTITY_ID
INVENTORY_DB;inventory.tagValues.value;STRING;;;;;;;;inventory.tagValues.value;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
INVENTORY_DB;inventory.tagValues.tag.id;LONG;InventoryTag;getAllInventoryTags;getName;getId;;;;inventory.tagValues.tag.id;EQ, NE
INVENTORY_DB;inventory.tagValues;LONG;;;;;;;;inventory.tagValues;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
INVENTORY_DB;inventory.bookings.onBehalfOf.id;LONG;;;;;;;STAFF_DB;inventory.bookings.onBehalfOf.id;EQ, NE, IS_EQ_CONTEXT_IDENTITY_ID
INVENTORY_DB;inventory.bookings.proband.id;LONG;;;;;;;PROBAND_DB;inventory.bookings.proband.id;EQ, NE
INVENTORY_DB;inventory.bookings.trial.id;LONG;;;;;;;TRIAL_DB;inventory.bookings.trial.id;EQ, NE
INVENTORY_DB;inventory.bookings.course.id;LONG;;;;;;;COURSE_DB;inventory.bookings.course.id;EQ, NE
INVENTORY_DB;inventory.statusEntries.start;TIMESTAMP;;;;;;;;inventory.statusEntries.start;EQ, NE, GT, GE, LT, LE
INVENTORY_DB;inventory.statusEntries.start;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;inventory.statusEntries.startByPeriod;IS_EQ_NOW, IS_NE_NOW, IS_GT_NOW, IS_GE_NOW, IS_LT_NOW, IS_LE_NOW, IS_GT_NOW_PLUS_PERIOD, IS_GE_NOW_PLUS_PERIOD, IS_EQ_NOW_PLUS_PERIOD, IS_NE_NOW_PLUS_PERIOD, IS_LT_NOW_PLUS_PERIOD, IS_LE_NOW_PLUS_PERIOD, IS_GT_NOW_MINUS_PERIOD, IS_GE_NOW_MINUS_PERIOD, IS_EQ_NOW_MINUS_PERIOD, IS_NE_NOW_MINUS_PERIOD, IS_LT_NOW_MINUS_PERIOD, IS_LE_NOW_MINUS_PERIOD
INVENTORY_DB;inventory.statusEntries.stop;TIMESTAMP;;;;;;;;inventory.statusEntries.stop;IS_NULL, EQ, NE, GT, GE, LT, LE
INVENTORY_DB;inventory.statusEntries.stop;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;inventory.statusEntries.stopByPeriod;IS_EQ_NOW, IS_NE_NOW, IS_GT_NOW, IS_GE_NOW, IS_LT_NOW, IS_LE_NOW, IS_GT_NOW_PLUS_PERIOD, IS_GE_NOW_PLUS_PERIOD, IS_EQ_NOW_PLUS_PERIOD, IS_NE_NOW_PLUS_PERIOD, IS_LT_NOW_PLUS_PERIOD, IS_LE_NOW_PLUS_PERIOD, IS_GT_NOW_MINUS_PERIOD, IS_GE_NOW_MINUS_PERIOD, IS_EQ_NOW_MINUS_PERIOD, IS_NE_NOW_MINUS_PERIOD, IS_LT_NOW_MINUS_PERIOD, IS_LE_NOW_MINUS_PERIOD
INVENTORY_DB;inventory.statusEntries.type.id;LONG;InventoryStatusType;getAllInventoryStatusTypes;getName;getId;;;;inventory.statusEntries.type.id;EQ, NE
INVENTORY_DB;inventory.statusEntries.type.inventoryActive;BOOLEAN;;;;;;;;inventory.statusEntries.type.inventoryActive;EQ, NE
STAFF_DB;staff.id;LONG;;;;;;;;staff.id;EQ, NE, TRUE
STAFF_DB;staff.department.id;LONG;Department;getAllDepartments;getName;getId;;;;staff.department.id;EQ, NE, IS_EQ_CONTEXT_USER_DEPARTMENT_ID
STAFF_DB;staff.category.id;LONG;StaffCategory;getAllStaffCategories;getName;getId;;;;staff.category.id;EQ, NE
STAFF_DB;staff.personParticulars.firstName;STRING;;;;;;;;staff.personParticulars.firstName;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
STAFF_DB;staff.personParticulars.lastName;STRING;;;;;;;;staff.personParticulars.lastName;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
STAFF_DB;staff.organisationParticulars.organisationName;STRING;;;;;;;;staff.organisationParticulars.organisationName;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
STAFF_DB;staff.personParticulars.dateOfBirth;DATE;;;;;;;;staff.personParticulars.dateOfBirth;EQ, NE, GT, GE, LT, LE
STAFF_DB;staff.person;BOOLEAN;;;;;;;;staff.person;EQ, NE
STAFF_DB;staff.employee;BOOLEAN;;;;;;;;staff.employee;EQ, NE
STAFF_DB;staff.allocatable;BOOLEAN;;;;;;;;staff.allocatable;EQ, NE
STAFF_DB;staff.deferredDelete;BOOLEAN;;;;;;;;staff.deferredDelete;EQ, NE
STAFF_DB;staff.parent.id;LONG;;;;;;;STAFF_DB;staff.parent.id;EQ, NE, IS_EQ_CONTEXT_IDENTITY_ID
STAFF_DB;staff.trialMemberships.trial.id;LONG;;;;;;;TRIAL_DB;staff.trialMemberships.trial.id;EQ, NE
STAFF_DB;staff.participations.course.id;LONG;;;;;;;COURSE_DB;staff.participations.course.id;EQ, NE
STAFF_DB;staff.participations.course.category.id;LONG;CourseCategory;getAllCourseCategories;getName;getId;;;;staff.participations.course.category.id;EQ, NE
STAFF_DB;staff.participations.course.trial.id;LONG;;;;;;;TRIAL_DB;staff.participations.course.trial.id;EQ, NE
STAFF_DB;staff.participations.course.stop;DATE;;;;;;;;staff.participations.course.stop;EQ, NE, GT, GE, LT, LE
STAFF_DB;staff.participations.course.stop;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;staff.participations.course.stopByPeriod;IS_EQ_TODAY, IS_NE_TODAY, IS_GT_TODAY, IS_GE_TODAY, IS_LT_TODAY, IS_LE_TODAY, IS_GT_TODAY_PLUS_PERIOD, IS_GE_TODAY_PLUS_PERIOD, IS_EQ_TODAY_PLUS_PERIOD, IS_NE_TODAY_PLUS_PERIOD, IS_LT_TODAY_PLUS_PERIOD, IS_LE_TODAY_PLUS_PERIOD, IS_GT_TODAY_MINUS_PERIOD, IS_GE_TODAY_MINUS_PERIOD, IS_EQ_TODAY_MINUS_PERIOD, IS_NE_TODAY_MINUS_PERIOD, IS_LT_TODAY_MINUS_PERIOD, IS_LE_TODAY_MINUS_PERIOD
STAFF_DB;staff.participations;LONG;;;;;;;;staff.participations;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
STAFF_DB;staff.cvPositions;LONG;;;;;;;;staff.cvPositions;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
STAFF_DB;staff.cvPositions.section.id;LONG;CvSection;getAllCvSections;getName;getId;;;;staff.cvPositions.section.id;EQ, NE
STAFF_DB;staff.tagValues.value;STRING;;;;;;;;staff.tagValues.value;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
STAFF_DB;staff.tagValues.tag.id;LONG;StaffTag;getAllStaffTags;getName;getId;;;;staff.tagValues.tag.id;EQ, NE
