country,state_id,zip,city,street
United States,PR,00601,Adjuntas,,
United States,PR,00602,Aguada,,
United States,PR,00603,Aguadilla,,
United States,PR,00606,Maricao,,
United States,PR,00610,Anasco,,
United States,PR,00611,Angeles,,
United States,PR,00612,Arecibo,,
United States,PR,00616,Bajadero,,
United States,PR,00617,Barceloneta,,
United States,PR,00622,Boqueron,,
United States,PR,00623,Cabo Rojo,,
United States,PR,00624,Penuelas,,
United States,PR,00627,Camuy,,
United States,PR,00631,Castaner,,
United States,PR,00636,Rosario,,
United States,PR,00637,Sabana Grande,,
United States,PR,00638,Ciales,,
United States,PR,00641,Utuado,,
United States,PR,00646,Dorado,,
United States,PR,00647,Ensenada,,
United States,PR,00650,Florida,,
United States,PR,00652,Garrochales,,
United States,PR,00653,Guanica,,
United States,PR,00656,Guayanilla,,
United States,PR,00659,Hatillo,,
United States,PR,00660,Hormigueros,,
United States,PR,00662,Isabela,,
United States,PR,00664,Jayuya,,
United States,PR,00667,Lajas,,
United States,PR,00669,Lares,,
United States,PR,00670,Las Marias,,
United States,PR,00674,Manati,,
United States,PR,00676,Moca,,
United States,PR,00677,Rincon,,
United States,PR,00678,Quebradillas,,
United States,PR,00680,Mayaguez,,
United States,PR,00682,Mayaguez,,
United States,PR,00683,San German,,
United States,PR,00685,San Sebastian,,
United States,PR,00687,Morovis,,
United States,PR,00688,Sabana Hoyos,,
United States,PR,00690,San Antonio,,
United States,PR,00692,Vega Alta,,
United States,PR,00693,Vega Baja,,
United States,PR,00694,Vega Baja,,
United States,PR,00698,Yauco,,
United States,PR,00703,Aguas Buenas,,
United States,PR,00704,Aguirre,,
United States,PR,00705,Aibonito,,
United States,PR,00707,Maunabo,,
United States,PR,00714,Arroyo,,
United States,PR,00715,Mercedita,,
United States,PR,00716,Ponce,,
United States,PR,00717,Ponce,,
United States,PR,00718,Naguabo,,
United States,PR,00719,Naranjito,,
United States,PR,00720,Orocovis,,
United States,PR,00723,Patillas,,
United States,PR,00725,Caguas,,
United States,PR,00727,Caguas,,
United States,PR,00728,Ponce,,
United States,PR,00729,Canovanas,,
